"LOKALITA","rok","pocet_dni"
"PecpodSnezkou",2008,108
"PecpodSnezkou",2009,115
"PecpodSnezkou",2010,119
"PecpodSnezkou",2011,102
"PecpodSnezkou",2012,101
"PecpodSnezkou",2013,134
"PecpodSnezkou",2014,6
"PecpodSnezkou",2015,91
"PecpodSnezkou",2016,48
"PecpodSnezkou",2017,120
"PecpodSnezkou",2018,121
"PecpodSnezkou",2019,100
"PecpodSnezkou",2020,61
"PecpodSnezkou",2021,116
"PecpodSnezkou",2022,96
"PecpodSnezkou",2023,78
"Serak",2004,159
"Serak",2005,164
"Serak",2006,134
"Serak",2007,144
"Serak",2008,157
"Serak",2009,130
"Serak",2010,130
"Serak",2011,120
"Serak",2012,139
"Serak",2013,146
"Serak",2014,52
"Serak",2015,113
"Serak",2016,140
"Serak",2017,151
"Serak",2018,122
"Serak",2019,121
"Serak",2020,118
"Serak",2021,165
"Serak",2022,149
"Serak",2023,136
"Storlien_Storvallen",1990,146
"Storlien_Storvallen",1991,97
"Storlien_Storvallen",1992,190
"Storlien_Storvallen",1993,171
"Storlien_Storvallen",1994,184
"Storlien_Storvallen",1995,208
"Storlien_Storvallen",1996,201
"Storlien_Storvallen",1997,212
"Storlien_Storvallen",1998,140
"Storlien_Storvallen",1999,171
"Storlien_Storvallen",2000,143
"Storlien_Storvallen",2001,183
"Storlien_Storvallen",2002,149
"Storlien_Storvallen",2003,165
"Storlien_Storvallen",2004,166
"Storlien_Storvallen",2005,183
"Storlien_Storvallen",2006,151
"Storlien_Storvallen",2007,181
"Storlien_Storvallen",2008,176
"Storlien_Storvallen",2009,162
"Storlien_Storvallen",2010,206
"Storlien_Storvallen",2011,153
"Storlien_Storvallen",2012,166
"Storlien_Storvallen",2013,128
"Storlien_Storvallen",2014,130
"Storlien_Storvallen",2015,160
"Storlien_Storvallen",2016,177
"Storlien_Storvallen",2017,179
"Storlien_Storvallen",2018,151
"Storlien_Storvallen",2019,178
"Storlien_Storvallen",2020,196
"Storlien_Storvallen",2021,175
"Storlien_Storvallen",2022,144
"Storlien_Storvallen",2023,165
"Venabu",1990,169
"Venabu",1991,183
"Venabu",1992,196
"Venabu",1993,178
"Venabu",1994,179
"Venabu",1995,149
"Venabu",1996,168
"Venabu",1997,186
"Venabu",1998,179
"Venabu",1999,166
"Venabu",2000,174
"Venabu",2001,166
"Venabu",2002,194
"Venabu",2003,179
"Venabu",2004,160
"Venabu",2005,157
"Venabu",2006,183
"Venabu",2007,144
"Venabu",2008,151
"Venabu",2009,62
"Venabu",2010,150
"Venabu",2011,130
"Venabu",2012,188
"Venabu",2013,150
"Venabu",2014,179
"Venabu",2015,171
"Venabu",2016,190
"Venabu",2017,200
"Venabu",2018,157
"Venabu",2019,169
"Venabu",2020,169
"Venabu",2021,141
"Venabu",2022,145
"Venabu",2023,190
